dd,dt,mp,sp,n,pf,avg_ret,win_rate,avg_cost,sum_ret
20,-0.15,10,0.05,39735,1.1203294100121135,0.002597228211903863,0.5458411979363281,0.0035989407575185597,103.200862999999
5,-0.08,20,0.03,41477,1.119127363264821,0.0031234445596354608,0.34014031873086287,0.003602271258769921,129.55110999999718
10,-0.1,10,0.08,43236,1.1088799794942392,0.002766382297159774,0.5947589971320196,0.0036002082292533994,119.60730499999944
15,-0.1,20,0.03,67781,1.105435945877523,0.002599658709667901,0.35669287853528275,0.003598298210412948,176.20746699999683
5,-0.1,10,0.05,24840,1.10385352761903,0.0029297047906602256,0.49041867954911433,0.0036011647745571645,72.77386699999924
20,-0.1,20,0.05,68127,1.1030947204844432,0.002862755794325304,0.48086661675987497,0.0035970642916905177,195.03096399999797
10,-0.08,20,0.08,61758,1.0961955640392402,0.0032528369280093268,0.5492891609184235,0.0035994840182648393,200.88870299999397
10,-0.08,20,0.05,68728,1.0921964183473132,0.0027475611395646605,0.4579210802002095,0.0035990863694564065,188.83438199999594
10,-0.1,10,0.05,47305,1.088182836979587,0.0020867019976746645,0.5381249339393299,0.0035993556706479224,98.7114379999999
20,-0.15,10,0.03,43475,1.0857603693744304,0.001671351282346176,0.46516388729154684,0.0035976747556066713,72.66199699999852
20,-0.08,20,0.08,73887,1.0848660506459005,0.0025492591795579734,0.563820428492157,0.003595138062176025,188.35711299999846
15,-0.08,20,0.08,68435,1.077412304558224,0.002536408913567619,0.5562066194198875,0.003596002849419156,173.5791439999972
10,-0.08,20,0.03,75083,1.0760454650721307,0.0018869267077767271,0.35073185674520196,0.003597845490989972,141.67611799999617
15,-0.1,10,0.08,60595,1.0734098717593041,0.001705307088043568,0.5913194157933823,0.0035956545424539977,103.33308299999844
5,-0.1,10,0.03,25096,1.0712434792518093,0.0017917983742429073,0.3895839974497928,0.0035995134284348106,44.96697199999999
20,-0.1,20,0.03,79670,1.068413459628806,0.001591585352077319,0.37714321576503074,0.003595249491653069,126.8016049999962
15,-0.08,20,0.05,80138,1.0647264731912318,0.0018719443085677206,0.47016396715665476,0.0035957055204771764,150.01387299999791
10,-0.1,10,0.03,50939,1.0640671755213995,0.0013482464712695577,0.4511474508726123,0.0035982476687803065,68.67832699999877
5,-0.08,10,0.08,40086,1.055468211457486,0.0016335351743750936,0.5686274509803921,0.0035999027091752726,65.4818909999998
