code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.605167,2024-02-20,7.593,2024-02-27,8.4243,MA,6,0.109479,0.105802,305
sh.605167,2026-06-02,15.7519,2026-06-08,14.4917,STOP,5,-0.08,-0.083438,104
sh.605167,2026-06-10,14.928,2026-06-15,13.7338,STOP,4,-0.08,-0.083496,136
sh.605168,2020-09-14,180.9238,2020-09-21,221.8025,MA,6,0.225944,0.222523,44
sh.605168,2022-04-29,112.8646,2022-05-17,123.3265,MA,10,0.092694,0.089169,31
sh.605168,2024-02-07,106.9647,2024-02-20,120.5045,MA,4,0.126582,0.122958,1493
sh.605168,2024-04-12,125.943,2024-04-16,115.8676,STOP,3,-0.08,-0.083174,55
sh.605168,2024-04-18,120.1209,2024-04-29,127.6806,MA,8,0.062934,0.059508,204
sh.605168,2025-01-08,105.4913,2025-01-13,97.052,STOP,4,-0.08,-0.083328,457
sh.605168,2026-06-09,168.1912,2026-06-22,194.4291,MA,9,0.156,0.152671,47
sh.605169,2021-01-18,20.35,2021-02-03,18.722,STOP,13,-0.08,-0.083609,32
sh.605169,2024-02-07,13.7508,2024-02-08,12.6508,STOP,2,-0.08,-0.083419,1493
sh.605169,2024-02-20,14.4212,2024-02-28,17.0258,MA,7,0.180611,0.176684,305
sh.605177,2022-02-15,24.523,2022-03-02,24.6847,MA,12,0.006593,0.003063,169
sh.605177,2024-02-07,17.6135,2024-02-27,21.1238,MA,9,0.199297,0.195362,1493
sh.605177,2026-06-30,18.0025,2026-07-09,16.5623,STOP,8,-0.08,-0.083491,102
sh.605178,2024-01-26,26.4268,2024-01-31,24.3126,STOP,4,-0.08,-0.083641,62
sh.605178,2024-04-29,19.9219,2024-05-15,19.4443,MA,10,-0.023977,-0.027445,28
sh.605178,2024-06-11,15.1873,2024-06-20,18.7137,MA,8,0.232192,0.228247,194
sh.605178,2024-12-27,20.3996,2025-01-03,18.7676,STOP,5,-0.08,-0.083606,48
sh.605178,2025-01-08,19.9781,2025-01-13,23.6731,MA,4,0.184951,0.181172,457
sh.605180,2024-02-02,18.9026,2024-02-05,17.3904,STOP,2,-0.08,-0.083438,433
sh.605180,2024-02-26,17.2829,2024-02-28,18.4042,MA,3,0.064882,0.061127,90
sh.605180,2025-01-08,20.9032,2025-01-21,22.3911,MA,10,0.071184,0.067381,457
sh.605183,2021-10-08,17.1397,2021-11-01,17.2941,MA,17,0.009009,0.005329,79
sh.605183,2022-10-12,18.4996,2022-10-19,19.991,MA,6,0.080617,0.076915,128
sh.605183,2024-02-07,11.8499,2024-02-20,13.8982,MA,4,0.172851,0.169037,1493
sh.605183,2025-04-10,16.5532,2025-04-28,17.8138,MA,13,0.076159,0.072538,588
sh.605186,2022-04-15,25.1091,2022-04-26,23.1003,STOP,8,-0.08,-0.083708,51
sh.605186,2022-04-28,22.6766,2022-05-06,25.9534,MA,4,0.144504,0.140684,1476
sh.605186,2024-06-27,22.9608,2024-07-04,21.1239,STOP,6,-0.08,-0.083469,42
sh.605186,2025-01-08,18.8503,2025-01-27,19.6734,MA,14,0.043666,0.040039,457
sh.605186,2025-04-09,17.8442,2025-04-30,19.1449,MA,16,0.072893,0.069163,728
sh.605186,2026-08-03,24.2462,2026-08-10,26.7054,MA,6,0.101425,0.097742,41
sh.605188,2024-04-25,6.9683,2024-05-10,7.6671,MA,9,0.100291,0.096615,78
sh.605188,2025-01-08,6.8257,2025-01-21,7.3632,MA,10,0.078752,0.075087,457
sh.605189,2024-02-07,14.5518,2024-02-08,13.3329,STOP,2,-0.083765,-0.087285,1493
sh.605189,2026-06-08,22.7353,2026-06-26,20.9164,STOP,14,-0.08,-0.08348,59
sh.605196,2021-07-30,9.42,2021-08-10,10.43,MA,8,0.107219,0.103496,44
sh.605196,2022-03-31,9.4,2022-04-15,8.648,STOP,10,-0.08,-0.083444,21
sh.605196,2022-04-28,7.23,2022-05-24,7.3,MA,16,0.009682,0.006103,1476
sh.605198,2024-02-07,17.9812,2024-02-08,16.5427,STOP,2,-0.08,-0.083492,1493
sh.605198,2026-07-15,59.4668,2026-07-17,53.481,STOP,3,-0.100657,-0.104688,157
sh.605199,2020-09-14,27.17,2020-09-24,30.2,MA,9,0.11152,0.107626,44
sh.605199,2021-07-29,21.7652,2021-08-18,22.7705,MA,15,0.046189,0.042471,21
sh.605199,2022-02-07,19.3122,2022-02-24,19.8148,MA,14,0.026028,0.022453,43
sh.605199,2022-04-27,14.0946,2022-05-13,17.2111,MA,10,0.221113,0.217267,107
sh.605199,2024-02-07,10.6865,2024-02-26,12.2951,MA,8,0.150517,0.146752,1493
sh.605199,2025-04-09,13.231,2025-04-15,15.7754,MA,5,0.192308,0.18844,728
