code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,score,ret5,shrink,gap,density,priority
sz.000950,2019-09-06,13.6651,2019-09-06,13.2552,SL,1,-0.03,-0.032948,0.0965,0.0388,0.7006,0.003,4,0.0965
sz.002899,2019-09-06,14.0474,2019-09-16,14.4309,TIME,6,0.027299,0.024251,0.0943,0.0175,0.738,0.0,4,0.0943
sz.002745,2019-10-15,21.6912,2019-10-18,21.0404,SL,4,-0.03,-0.032948,0.1475,-0.0771,0.7469,-0.0066,7,0.1475
sz.002767,2019-10-15,23.7282,2019-10-22,23.6524,TIME,6,-0.003195,-0.006189,0.1438,-0.0277,0.6821,-0.0076,7,0.1438
sh.600615,2019-10-15,354.3716,2019-10-17,343.7404,SL,3,-0.03,-0.032948,0.1427,-0.014,0.6643,-0.0059,7,0.1427
sh.603159,2019-10-15,19.8905,2019-10-15,19.2938,SL,1,-0.03,-0.032947,0.1325,-0.0398,0.7284,-0.0086,7,0.1325
sh.601882,2019-10-15,8.0099,2019-10-18,7.7696,SL,4,-0.03,-0.032947,0.1278,-0.046,0.7495,0.0025,7,0.1278
sh.603901,2019-10-15,33.3927,2019-10-15,32.3909,SL,1,-0.03,-0.032947,0.1182,0.0136,0.6842,0.0,7,0.1182
sh.600211,2019-10-15,48.4367,2019-10-15,46.9836,SL,1,-0.03,-0.032948,0.0667,0.0581,0.7462,0.0,7,0.0667
sh.603330,2019-12-18,30.0269,2019-12-18,31.5282,TP,1,0.05,0.046913,0.1577,-0.0724,0.7143,0.0037,1,0.1577
sz.002227,2020-01-03,23.2502,2020-01-06,24.4127,TP,2,0.05,0.046913,0.1674,-0.0361,0.6357,-0.0009,4,0.1674
sh.603617,2020-01-03,21.3154,2020-01-06,22.3811,TP,2,0.05,0.046913,0.1321,0.0462,0.6003,0.0027,4,0.1321
sz.002767,2020-01-03,22.8185,2020-01-10,22.8791,TIME,6,0.002658,-0.000347,0.1186,0.0233,0.6685,0.0067,4,0.1186
sz.002406,2020-01-03,22.0791,2020-01-08,23.1831,TP,4,0.05,0.046913,0.102,0.0186,0.7171,-0.0017,4,0.102
sh.603966,2020-02-05,11.7416,2020-02-10,12.3287,TP,4,0.05,0.046913,0.2799,-0.2155,0.6234,0.0068,2,0.2799
sh.603359,2020-02-05,22.22,2020-02-07,23.331,TP,3,0.05,0.046912,0.1776,-0.118,0.7331,-0.0026,2,0.1776
sh.600665,2020-02-06,10.193,2020-02-13,10.32,TIME,6,0.012461,0.009439,0.1965,-0.1157,0.6823,0.0,1,0.1965
sz.002042,2020-02-07,34.745,2020-02-14,34.4822,TIME,6,-0.007564,-0.010551,0.1916,-0.0961,0.6651,-0.0105,8,0.1916
sh.603628,2020-02-07,7.2088,2020-02-10,7.5692,TP,2,0.05,0.046913,0.1913,-0.1213,0.7038,-0.0028,8,0.1913
sh.600814,2020-02-07,21.8266,2020-02-14,22.0564,TIME,6,0.010526,0.007508,0.1751,-0.0627,0.6563,-0.0063,8,0.1751
sh.600403,2020-02-07,14.2188,2020-02-11,14.9297,TP,3,0.05,0.046913,0.1714,-0.0838,0.6971,0.0,8,0.1714
sh.600461,2020-02-07,20.7749,2020-02-14,20.8415,TIME,6,0.003205,0.0002,0.1696,-0.0617,0.6685,0.0,8,0.1696
sh.603877,2020-02-07,15.8675,2020-02-10,16.6609,TP,2,0.05,0.046913,0.1693,-0.0964,0.7213,-0.0007,8,0.1693
sh.603558,2020-02-07,38.4029,2020-02-14,40.3231,TP,6,0.05,0.046912,0.1529,-0.0846,0.7447,-0.0101,8,0.1529
sh.603578,2020-02-07,20.9548,2020-02-10,22.0026,TP,2,0.05,0.046913,0.1322,-0.0495,0.7437,-0.0158,8,0.1322
sz.002646,2020-02-19,10.9452,2020-02-26,10.9777,TIME,6,0.00297,-3.5e-05,0.1851,-0.0425,0.6009,-0.0049,8,0.1851
sh.600569,2020-02-19,4.4477,2020-02-25,4.3143,SL,5,-0.03,-0.032948,0.177,-0.0531,0.637,-0.0043,8,0.177
sh.600379,2020-02-19,11.5255,2020-02-25,11.1797,SL,5,-0.03,-0.032947,0.1397,-0.0112,0.6675,0.0019,8,0.1397
sh.600156,2020-02-19,6.3217,2020-02-21,6.6378,TP,3,0.05,0.046913,0.1295,0.0088,0.6631,-0.0109,8,0.1295
sz.002154,2020-02-19,34.7188,2020-02-25,36.4547,TP,5,0.05,0.046913,0.121,-0.0262,0.7368,0.0,8,0.121
sh.600843,2020-02-19,13.2015,2020-02-20,12.7983,SL,2,-0.030544,-0.033491,0.1175,-0.022,0.7392,-0.0013,8,0.1175
sz.002327,2020-02-19,63.7285,2020-02-26,64.2958,TIME,6,0.008902,0.005886,0.0988,0.012,0.7349,-0.0015,8,0.0988
sz.000530,2020-02-19,26.4332,2020-02-20,27.7548,TP,2,0.05,0.046912,0.0984,0.0159,0.7302,-0.0026,8,0.0984
sh.600403,2020-02-26,15.9657,2020-02-26,16.7639,TP,1,0.05,0.046913,0.1803,0.0025,0.5454,-0.0025,8,0.1803
sz.000525,2020-02-26,56.1487,2020-02-28,54.4642,SL,3,-0.03,-0.032948,0.1623,-0.0776,0.7106,0.002,8,0.1623
sz.000553,2020-02-26,31.7152,2020-02-28,30.7638,SL,3,-0.03,-0.032947,0.1427,-0.068,0.7452,-0.007,8,0.1427
sh.603396,2020-02-26,38.0544,2020-02-26,36.9128,SL,1,-0.03,-0.032947,0.1415,-0.0456,0.7148,-0.0049,8,0.1415
