code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sz.000990,2020-02-05,27.172,2020-02-20,30.9673,MA,12,0.139674,0.13643,1.6559,525,111.06696652003075
sz.001270,2024-02-07,55.3769,2024-02-23,68.7999,MA,7,0.242394,0.238969,2.047,986,230.4383212159874
sz.001287,2025-04-10,17.0624,2025-04-14,21.0883,MA,3,0.235955,0.232542,1.6733,463,174.44448777892873
sz.001301,2024-02-07,25.9368,2024-02-23,29.5405,MA,7,0.138943,0.1357,1.611,986,142.7163918446693
sz.001696,2020-02-05,87.4219,2020-02-18,102.7432,MA,10,0.175258,0.171951,2.7606,525,137.7393470735602
sz.001696,2024-02-07,104.6706,2024-02-23,118.0735,MA,7,0.128049,0.124825,1.7513,986,137.7393470735602
sz.001696,2025-04-10,408.5316,2025-04-24,461.8748,MA,11,0.130573,0.127345,1.946,463,137.7393470735602
sz.002011,2018-10-18,20.984,2018-10-19,17.7887,STOP,2,-0.152273,-0.155006,1.7391,78,109.16856688782953
sz.002015,2022-04-28,58.1756,2022-05-11,67.0491,MA,7,0.152529,0.149262,1.5442,837,252.11351807853902
sz.002043,2022-03-17,57.3766,2022-03-29,52.7865,STOP,9,-0.08,-0.08286,1.6122,122,104.0031379165332
sz.002044,2022-04-28,35.5566,2022-05-23,37.5734,MA,15,0.056723,0.053623,1.6067,837,187.07067849697503
sz.002046,2020-02-05,20.8086,2020-02-20,23.5805,MA,12,0.133212,0.129979,1.7668,525,249.0399750482126
sz.002046,2022-04-28,34.6682,2022-05-11,39.1021,MA,7,0.127894,0.12467,1.9864,837,249.0399750482126
sz.002048,2022-02-15,143.534,2022-02-24,132.0513,STOP,8,-0.08,-0.08286,1.66,73,135.57306591479372
sz.002048,2025-04-10,107.2983,2025-04-25,115.5646,MA,12,0.07704,0.073906,1.6121,463,135.57306591479372
sz.002056,2025-04-10,122.4383,2025-05-07,128.3901,MA,17,0.048611,0.045526,1.5523,463,353.00365179504945
sz.002065,2018-10-18,198.0288,2018-11-05,228.0056,MA,13,0.151376,0.148111,1.7542,78,211.6367993550741
sz.002065,2022-04-28,175.7754,2022-05-23,182.2971,MA,15,0.037102,0.034038,2.4587,837,211.6367993550741
sz.002065,2025-04-10,295.5831,2025-04-24,312.5009,MA,11,0.057235,0.054135,1.8862,463,211.6367993550741
sz.002074,2022-04-28,112.7042,2022-05-11,130.241,MA,7,0.1556,0.152328,1.9393,837,480.0203008507129
sz.002083,2024-02-07,9.9032,2024-02-28,11.318,MA,10,0.142857,0.139607,1.8661,986,108.74418227181275
sz.002085,2025-04-10,123.2043,2025-04-24,138.7874,MA,11,0.126482,0.123261,2.0571,463,225.47631179528466
sz.002129,2018-02-13,33.5993,2018-03-01,37.6681,MA,8,0.121099,0.117887,7.0099,103,373.6078332353893
sz.002130,2024-02-07,117.8856,2024-02-22,129.2805,MA,6,0.096661,0.093492,1.6185,986,195.39965885448953
sz.002130,2025-04-10,369.0089,2025-05-06,391.0362,MA,16,0.059693,0.056589,2.1453,463,195.39965885448953
sz.002131,2025-04-09,134.257,2025-04-22,161.556,MA,10,0.203333,0.199977,1.8577,136,303.23022128853484
sz.002138,2025-04-10,180.3632,2025-04-22,198.1188,MA,9,0.098444,0.095271,1.6369,463,372.07634723556714
sz.002139,2024-02-07,120.9432,2024-02-20,135.2319,MA,4,0.118143,0.114937,1.5938,986,107.23082570160926
sz.002139,2025-04-10,213.8542,2025-04-24,231.3047,MA,11,0.0816,0.078457,1.9069,463,107.23082570160926
sz.002145,2022-04-28,21.9594,2022-05-10,25.6193,MA,6,0.166667,0.163375,2.0598,837,171.3847447046979
sz.002149,2020-02-05,19.6761,2020-02-18,23.5176,MA,10,0.195238,0.191896,1.8649,525,185.77152738348656
sz.002149,2022-04-28,29.5048,2022-05-12,35.067,MA,8,0.188516,0.185186,1.7525,837,185.77152738348656
sz.002149,2024-02-07,37.5237,2024-02-23,41.4392,MA,7,0.104348,0.101165,1.6164,986,185.77152738348656
sz.002151,2022-04-28,156.461,2022-05-18,171.4617,MA,12,0.095875,0.092707,1.5998,837,129.26247489222231
sz.002153,2024-02-07,286.6308,2024-02-23,339.7926,MA,7,0.185471,0.182147,1.6624,986,133.77841039128646
sz.002157,2020-02-05,187.3451,2020-02-17,225.5193,MA,9,0.203764,0.200408,1.9271,525,230.25783421209746
sz.002158,2022-04-28,57.399,2022-05-11,64.3832,MA,7,0.121678,0.118465,2.0021,837,144.04885759098624
sz.002167,2018-10-22,38.353,2018-11-06,41.4181,MA,12,0.079918,0.076778,1.687,282,126.82445810453676
sz.002167,2020-02-05,41.9683,2020-02-19,48.963,MA,11,0.166667,0.163375,3.244,525,126.82445810453676
sz.002176,2020-04-02,27.7281,2020-04-16,28.7646,MA,10,0.037383,0.034318,1.5586,63,157.47005946635238
sz.002182,2024-02-07,50.002,2024-02-23,53.2594,MA,7,0.065144,0.06203,1.6719,986,106.30999784271309
sz.002183,2025-04-09,61.4318,2025-04-15,72.0497,MA,5,0.17284,0.169537,2.0757,136,118.95246283905462
sz.002217,2018-10-18,24.3612,2018-11-05,28.0352,MA,13,0.150812,0.147548,1.6488,78,109.01450349085478
