date,nav,q,n_pos
2011-07-26,104151.37816565,0.3113456464379947,0
2011-07-27,104151.37816565,0.33421052631578946,0
2011-07-28,104151.37816565,0.32020997375328086,0
2011-07-29,104151.37816565,0.3010471204188482,0
2011-08-01,104151.37816565,0.31070496083550914,0
2011-08-02,104151.37816565,0.28125,0
2011-08-03,104151.37816565,0.2753246753246753,0
2011-08-04,104151.37816565,0.28756476683937826,0
2011-08-05,104151.37816565,0.20671834625322996,0
2011-08-08,104089.2139574,0.11082474226804123,1
2011-08-09,104124.00628115001,0.11568123393316196,2
2011-08-10,104872.46497315001,0.13333333333333333,3
2011-08-11,106396.28737315001,0.17902813299232737,3
2011-08-12,106696.78697315001,0.19387755102040816,3
2011-08-15,108210.42777315,0.24681933842239187,3
2011-08-16,107487.67657315002,0.2182741116751269,3
2011-08-17,107075.85577315,0.20506329113924052,3
2011-08-18,105233.23537315002,0.13636363636363635,3
2011-08-19,104286.63137315003,0.11838790931989925,3
2011-08-22,103223.01017315002,0.09547738693467336,3
2011-08-23,104761.49977315002,0.13533834586466165,3
2011-08-24,104370.36257315002,0.1225,3
2011-08-25,107710.39017315001,0.23940149625935161,3
2011-08-26,107617.08257315001,0.236318407960199,3
2011-08-29,105893.79337315002,0.16377171215880892,3
2011-08-30,105499.73697315001,0.1485148514851485,3
2011-08-31,105679.01857315001,0.15308641975308643,3
2011-09-01,105243.23897315002,0.14532019704433496,3
2011-09-02,104150.99537315001,0.11793611793611794,3
2011-09-05,102013.67817315002,0.06372549019607843,3
2011-09-06,101283.37977315002,0.05134474327628362,3
2011-09-07,103269.39697315003,0.1,3
2011-09-08,102451.13097315001,0.07785888077858881,3
2011-09-09,102272.77497315001,0.07766990291262135,3
2011-09-13,101175.86777315,0.05084745762711865,3
2011-09-14,101632.43777315003,0.057971014492753624,3
2011-09-15,101488.00857315003,0.05783132530120482,3
2011-09-16,101663.73017315002,0.0625,3
2011-09-19,99715.80497315,0.03597122302158273,3
2011-09-20,100092.27497315001,0.04066985645933014,3
2011-09-21,102981.78457315003,0.10978520286396182,3
2011-09-22,99944.28577315003,0.04047619047619048,3
2011-09-23,99367.20977315003,0.0332541567695962,3
2011-09-26,97282.50937315002,0.023696682464454975,3
2011-09-27,98242.28537315,0.030732860520094562,3
2011-09-28,97270.79697315002,0.02358490566037736,3
2011-09-29,96473.17897315,0.018823529411764704,3
2011-09-30,96229.88857315002,0.018779342723004695,3
2011-10-10,95365.91217315002,0.00936768149882904,3
2011-10-11,95184.77937315003,0.009345794392523364,3
2011-10-12,98487.17777315002,0.04428904428904429,3
2011-10-13,99122.38857315002,0.05116279069767442,3
2011-10-14,98808.43217315002,0.05104408352668213,3
2011-10-17,99277.24857315002,0.05555555555555555,3
2011-10-18,96616.43337315002,0.03002309468822171,3
2011-10-19,96291.47657315002,0.02534562211981567,3
2011-10-20,94064.73217315003,0.004597701149425287,3
2011-10-21,93614.21417315003,0.0022935779816513763,3
2011-10-24,96063.20937315002,0.02517162471395881,3
2011-10-25,97798.92297315004,0.0502283105022831,3
