code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,vol_ratio,density,mc
sh.605589,2024-02-07,18.4352,2024-02-19,20.6742,MA,3,0.121448,0.118236,,986,330.67654499609125
sh.605599,2024-02-07,12.394,2024-02-20,14.6602,MA,4,0.182842,0.179522,,986,126.51657531548977
sz.000002,2022-03-17,1997.14,2022-03-24,2139.5321,MA,6,0.071298,0.068173,,122,314.80838880403564
sz.000009,2022-03-17,95.5048,2022-04-08,87.8644,STOP,15,-0.08,-0.08286,,122,198.0527985827981
sz.000029,2022-04-28,11.1857,2022-05-05,14.7615,MA,3,0.319672,0.316113,,837,199.41032411600023
sz.000032,2018-02-13,23.4692,2018-03-02,25.0835,MA,9,0.068783,0.065663,,103,176.07865351467612
sz.000032,2020-02-05,37.2795,2020-02-17,49.9363,MA,9,0.339511,0.335917,,525,176.07865351467612
sz.000032,2022-04-28,43.149,2022-05-24,44.4107,MA,16,0.02924,0.026189,,837,176.07865351467612
sz.000034,2025-04-10,72.6584,2025-04-29,76.0694,MA,14,0.046944,0.043862,,463,207.41580001492122
sz.000035,2022-10-12,12.1243,2022-10-19,13.1934,MA,6,0.088172,0.085018,,81,112.18155014251045
sz.000035,2024-02-07,9.4387,2024-02-23,10.5077,MA,7,0.11326,0.110061,,986,112.18155014251045
sz.000050,2018-02-08,96.4544,2018-03-01,105.0921,MA,11,0.089552,0.086396,,68,160.47987547317004
sz.000050,2026-07-24,40.6055,2026-08-06,42.8578,MA,10,0.055468,0.05237,,72,160.47987547317004
sz.000060,2026-03-25,201.0154,2026-04-09,204.906,MA,11,0.019355,0.016321,,73,292.7472509016865
sz.000061,2018-10-22,86.374,2018-11-12,87.2249,MA,16,0.009852,0.006835,,282,105.15594670025119
sz.000061,2020-02-05,95.9107,2020-02-10,112.7483,MA,4,0.175556,0.172248,,525,105.15594670025119
sz.000062,2018-02-13,69.7618,2018-03-06,74.0804,MA,11,0.061905,0.058796,,103,238.4542061202485
sz.000062,2020-02-05,66.0675,2020-02-19,76.1512,MA,11,0.152627,0.14936,,525,238.4542061202485
sz.000066,2018-10-18,40.505,2018-11-05,42.945,MA,13,0.060241,0.057136,,78,471.1342154819864
sz.000066,2020-02-05,100.9695,2020-02-18,118.3837,MA,10,0.17247,0.169168,,525,471.1342154819864
sz.000066,2022-04-28,71.2519,2022-05-13,82.341,MA,9,0.155633,0.152361,,837,471.1342154819864
sz.000069,2024-06-11,84.8525,2024-06-13,78.0643,STOP,3,-0.08,-0.08286,,145,122.88066326558823
sz.000070,2020-02-05,22.0522,2020-02-18,25.5605,MA,10,0.159091,0.155813,,525,124.25296686569457
sz.000070,2024-04-18,18.4526,2024-04-30,20.5478,MA,9,0.113543,0.110344,,100,124.25296686569457
sz.000088,2018-07-09,30.6371,2018-07-25,32.3878,MA,13,0.057143,0.054043,,70,140.98382155492675
sz.000099,2025-04-09,59.4173,2025-04-24,68.156,MA,12,0.147074,0.143816,,136,110.34876916354725
sz.000155,2018-07-02,6.627,2018-07-05,6.0969,STOP,4,-0.08,-0.08286,,62,225.30858352975267
sz.000155,2018-07-09,5.8907,2018-07-26,6.4845,MA,14,0.100806,0.09763,,70,225.30858352975267
sz.000155,2018-10-22,4.1092,2018-11-06,4.4536,MA,12,0.083815,0.080668,,282,225.30858352975267
sz.000155,2024-02-07,11.437,2024-02-26,12.9571,MA,8,0.132918,0.129685,,986,225.30858352975267
sz.000158,2018-06-21,14.8205,2018-07-11,13.6349,STOP,15,-0.08,-0.08286,,348,212.13131332054164
sz.000158,2018-10-18,9.5115,2018-10-19,8.7243,STOP,2,-0.082759,-0.085614,,78,212.13131332054164
sz.000158,2022-04-28,11.2607,2022-05-23,12.1791,MA,15,0.081553,0.078411,,837,212.13131332054164
sz.000158,2025-01-08,39.9264,2025-02-06,41.5445,MA,16,0.040526,0.037455,,298,212.13131332054164
sz.000158,2025-04-09,39.4235,2025-04-21,47.0109,MA,9,0.192457,0.18912,,136,212.13131332054164
sz.000400,2019-05-08,50.9864,2019-05-29,52.7704,MA,16,0.034989,0.031927,,200,228.69610457829216
sz.000400,2022-04-28,87.8233,2022-05-11,96.963,MA,7,0.104069,0.100887,,837,228.69610457829216
sz.000403,2026-06-30,58.1748,2026-07-16,61.6909,MA,13,0.06044,0.057334,,83,100.51137327849193
sz.000415,2018-08-08,58.3193,2018-08-17,53.6538,STOP,8,-0.08,-0.08286,,85,244.85134974459038
sz.000422,2024-02-07,84.6678,2024-02-23,93.9684,MA,7,0.109848,0.106656,,986,137.88141407737805
sz.000506,2018-07-02,7.0148,2018-07-06,6.4536,STOP,5,-0.08,-0.08286,,62,166.25252174392784
sz.000506,2020-02-05,5.4803,2020-02-19,6.0064,MA,11,0.096,0.092832,,525,166.25252174392784
sz.000506,2022-04-28,5.0419,2022-05-06,6.5106,MA,4,0.291304,0.287795,,837,166.25252174392784
sz.000506,2024-02-07,5.8749,2024-02-27,7.1244,MA,9,0.212687,0.209314,,986,166.25252174392784
sz.000506,2026-03-25,37.3539,2026-04-09,39.9845,MA,11,0.070423,0.067299,,73,166.25252174392784
sz.000519,2018-02-13,38.4326,2018-02-28,41.6977,MA,7,0.084958,0.08181,,103,202.55321993124005
sz.000519,2018-10-22,33.9363,2018-11-05,35.9168,MA,11,0.05836,0.055257,,282,202.55321993124005
sz.000519,2020-02-05,35.9479,2020-02-18,40.7912,MA,10,0.134731,0.131495,,525,202.55321993124005
sz.000519,2026-07-24,75.8096,2026-08-06,80.7182,MA,10,0.064748,0.061635,,72,202.55321993124005
sz.000534,2022-04-28,24.4609,2022-05-16,29.0672,MA,10,0.188312,0.184982,,837,136.0280027166419
sz.000537,2018-07-02,33.1773,2018-07-05,30.5231,STOP,4,-0.08,-0.08286,,62,161.06844002869968
sz.000537,2019-05-09,25.1062,2019-06-12,24.5567,MA,24,-0.021888,-0.02485,,144,161.06844002869968
sz.000537,2022-10-12,47.1545,2022-10-19,51.4203,MA,6,0.090465,0.087306,,81,161.06844002869968
sz.000537,2026-06-30,30.388,2026-07-20,30.5533,MA,15,0.005442,0.002433,,83,161.06844002869968
sz.000553,2018-02-13,44.084,2018-03-07,46.5086,MA,12,0.055,0.051904,,103,118.0163262909554
sz.000553,2020-02-05,26.1898,2020-02-14,31.4597,MA,8,0.20122,0.197867,,525,118.0163262909554
sz.000553,2025-01-14,18.8906,2025-02-11,19.4055,MA,15,0.027257,0.02421,,63,118.0163262909554
sz.000555,2018-02-09,20.2609,2018-03-01,22.2647,MA,10,0.098901,0.095728,,234,105.52781362906654
sz.000555,2018-06-21,22.2957,2018-06-28,27.6743,MA,6,0.241241,0.237819,,348,105.52781362906654
sz.000555,2024-02-07,17.8671,2024-02-20,20.4034,MA,4,0.141952,0.138703,,986,105.52781362906654
sz.000555,2025-04-09,22.4768,2025-04-24,25.3148,MA,12,0.126263,0.123042,,136,105.52781362906654
sz.000563,2017-05-25,55.5922,2017-06-14,58.9688,MA,13,0.060738,0.057631,,82,153.6598301861438
