code,entry_date,entry_price,exit_date,exit_price,reason,bars,gross_ret,ret,density
sh.601108,2018-02-09,15.81,2018-03-07,16.33,MA,14,0.032891,0.029287,234
sh.601108,2018-10-22,7.0655,2018-11-01,7.9703,MA,9,0.128058,0.124355,282
sh.601108,2019-05-09,10.0544,2019-05-29,10.7152,MA,15,0.065723,0.062019,144
sh.601111,2020-02-05,8.361,2020-02-21,9.4546,MA,13,0.13079,0.127007,525
sh.601116,2018-02-09,17.6572,2018-03-05,20.1047,MA,12,0.138608,0.134767,234
sh.601116,2018-06-21,18.056,2018-07-05,16.6115,STOP,11,-0.08,-0.083488,348
sh.601116,2018-10-22,12.4135,2018-10-26,14.1176,MA,5,0.137273,0.13356,282
sh.601116,2025-01-08,12.2859,2025-02-10,12.5256,MA,18,0.019507,0.015961,298
sh.601117,2022-03-17,10.1221,2022-03-24,11.4487,MA,6,0.131051,0.127256,122
sh.601118,2020-02-05,4.2589,2020-02-21,4.7137,MA,13,0.106796,0.103115,525
sh.601121,2024-02-07,5.3603,2024-02-27,6.0214,MA,9,0.12334,0.119618,986
sh.601126,2022-03-17,36.5954,2022-04-06,33.6678,STOP,13,-0.08,-0.083746,122
sh.601126,2022-04-28,26.8546,2022-05-06,29.8145,MA,4,0.11022,0.106314,837
sh.601127,2019-05-08,13.587,2019-05-31,12.5,STOP,18,-0.08,-0.083431,200
sh.601127,2020-02-05,8.6994,2020-02-24,10.0855,MA,14,0.159334,0.15555,525
sh.601133,2024-02-07,9.0095,2024-02-27,10.5584,MA,9,0.17191,0.168143,986
sh.601368,2024-02-07,4.5015,2024-02-08,4.1414,STOP,2,-0.08,-0.08339,986
sh.601369,2022-04-28,14.9606,2022-05-10,16.1405,MA,6,0.078873,0.075141,837
sh.601375,2017-12-07,6.3343,2017-12-25,5.8276,STOP,13,-0.08,-0.083432,156
sh.601375,2020-02-05,4.8618,2020-02-13,5.4192,MA,7,0.11465,0.110949,525
sh.601388,2018-06-21,12.2885,2018-07-13,12.647,MA,17,0.029167,0.025606,348
sh.601388,2018-10-22,9.4212,2018-11-05,10.4965,MA,11,0.11413,0.110398,282
sh.601388,2019-05-08,9.9844,2019-06-04,10.1893,MA,20,0.020513,0.01698,200
sh.601388,2024-02-07,10.366,2024-02-26,12.1119,MA,8,0.168421,0.164597,986
sh.601456,2022-04-28,9.2655,2022-05-18,10.183,MA,12,0.099021,0.095293,837
sh.601512,2020-02-05,10.62,2020-03-05,12.15,MA,22,0.144068,0.140305,525
sh.601518,2024-02-07,3.4017,2024-02-26,3.8853,MA,8,0.14218,0.138453,986
sh.601519,2020-02-05,19.2699,2020-02-17,23.578,MA,9,0.223565,0.219692,525
sh.601519,2022-04-28,14.6999,2022-05-23,15.3985,MA,15,0.047525,0.04382,837
sh.601279,2022-04-28,4.7,2022-05-16,5.68,MA,10,0.208511,0.204685,837
sh.601279,2024-02-07,3.916,2024-02-26,4.7973,MA,8,0.225064,0.221205,986
sh.601298,2019-05-09,7.65,2019-06-03,8.1,MA,18,0.058824,0.05523,144
sh.601311,2022-04-28,23.7499,2022-05-18,25.8662,MA,12,0.089109,0.085423,837
